r1.sn-h8oxupq-jb3e.a1.googlevideo.com,103.119.230.140
r2.sn-h8oxupq-jb3e.a1.googlevideo.com,103.119.230.141
r3.sn-h8oxupq-jb3e.a1.googlevideo.com,103.119.230.142
r4.sn-h8oxupq-jb3e.a1.googlevideo.com,103.119.230.143
r1.sn-cp1oxu-jb3e.a1.googlevideo.com,117.102.117.204
r2.sn-cp1oxu-jb3e.a1.googlevideo.com,117.102.117.205
r3.sn-cp1oxu-jb3e.a1.googlevideo.com,117.102.117.206
r4.sn-cp1oxu-jb3e.a1.googlevideo.com,117.102.117.207
r1.sn-cp1oxu-tp5e.a1.googlevideo.com,182.253.108.204
r2.sn-cp1oxu-tp5e.a1.googlevideo.com,182.253.108.205
r2.sn-2uuxa3vh-nv9e.a1.googlevideo.com,118.98.77.13
r5.sn-2uuxa3vh-nv9e.a1.googlevideo.com,118.98.77.16
r1.sn-2uuxa3vh-habe.a1.googlevideo.com,118.98.97.172
r2.sn-2uuxa3vh-habe.a1.googlevideo.com,118.98.97.173
r3.sn-2uuxa3vh-habe.a1.googlevideo.com,118.98.97.174
r1.sn-cp1oxu-habe.a1.googlevideo.com,117.102.78.204
r2.sn-cp1oxu-habe.a1.googlevideo.com,117.102.78.205
r1.sn-2uuxa3vh-ngbe.a1.googlevideo.com,118.98.111.204
r2.sn-2uuxa3vh-ngbe.a1.googlevideo.com,118.98.111.205
r3.sn-2uuxa3vh-ngbe.a1.googlevideo.com,118.98.111.206
r4.sn-2uuxa3vh-ngbe.a1.googlevideo.com,118.98.111.207
r5.sn-2uuxa3vh-ngbe.a1.googlevideo.com,118.98.111.208
r6.sn-2uuxa3vh-ngbe.a1.googlevideo.com,118.98.111.209
r7.sn-2uuxa3vh-ngbe.a1.googlevideo.com,118.98.111.210
r8.sn-2uuxa3vh-ngbe.a1.googlevideo.com,118.98.111.211
r1.sn-cp1oxu-ngbe.a1.googlevideo.com,182.253.60.12
r2.sn-cp1oxu-ngbe.a1.googlevideo.com,182.253.60.13
r3.sn-2uuxa3vh-wvbe.a1.googlevideo.com,118.98.109.142
r4.sn-2uuxa3vh-wvbe.a1.googlevideo.com,118.98.109.143
r6.sn-2uuxa3vh-wvbe.a1.googlevideo.com,118.98.109.145
r8.sn-2uuxa3vh-wvbe.a1.googlevideo.com,118.98.109.147
r1.sn-jcopn2-n0ce.a1.googlevideo.com,202.158.58.140
r2.sn-jcopn2-n0ce.a1.googlevideo.com,202.158.58.141
r1.sn-2uuxa3vh-n0ce.a1.googlevideo.com,118.98.36.76
r2.sn-2uuxa3vh-n0ce.a1.googlevideo.com,118.98.36.77
r3.sn-2uuxa3vh-n0ce.a1.googlevideo.com,118.98.36.78
r4.sn-2uuxa3vh-n0ce.a1.googlevideo.com,118.98.36.79
r5.sn-2uuxa3vh-n0ce.a1.googlevideo.com,118.98.36.80
r6.sn-2uuxa3vh-n0ce.a1.googlevideo.com,118.98.36.81
r7.sn-2uuxa3vh-n0ce.a1.googlevideo.com,118.98.36.82
r8.sn-2uuxa3vh-n0ce.a1.googlevideo.com,118.98.36.83
r1.sn-poqvn5u-n0ce.a1.googlevideo.com,114.4.160.76
r2.sn-poqvn5u-n0ce.a1.googlevideo.com,114.4.160.77
r3.sn-poqvn5u-n0ce.a1.googlevideo.com,114.4.160.78
r4.sn-poqvn5u-n0ce.a1.googlevideo.com,114.4.160.79
r5.sn-poqvn5u-n0ce.a1.googlevideo.com,114.4.160.80
r6.sn-poqvn5u-n0ce.a1.googlevideo.com,114.4.160.81
r7.sn-poqvn5u-n0ce.a1.googlevideo.com,114.4.160.82
